794024	Virginia Newman
MATH335  3 4.0
MUS141  3 3.7
MUS304  3 2.0
MUS371  3 1.7
MUS451  3 2.7
PHYS123  3 3.0
POL198  3 3.0
POL443  3 2.7
PSYCH165  3 0.7
PSYCH454  3 1.3
452223	Ronnie Simon
19
ART158  3 -1
ART333  3 3.3
ART426  3 -1
CE132  3 3.3
CHEM196  3 3.3
CS319  3 0.7
ECON201  3 2.0
ECON438  3 3.7
EE157  3 2.3
ENGL338  3 1.3
ENGL351  3 3.3
ENGL440  3 2.7
ENGL444  3 2.3
HIST290  3 -1.0
MATH197  3 2.0
MATH307  3 3.0
ME193  3 0.7
PHYS166  3 4.0
PHYS457  4 -1
693118	Sarah Newton
29
ART161  3 3.7
ART331  3 3.3
CE132  3 2.3
CE212  3 3.7
CE242  3 -1.0
CE435  3 1.7
CHEM149  3 3.0
CHEM196  3 0.7
CHEM236  3 -1
CHEM310  3 -1.0
CS165  4 2.3
CS224  3 2.7
ECON199  4 3.0
ECON201  3 3.7
ECON351  3 2.3
ECON372  3 0.7
ENGL175  3 3.7
ENGL338  3 2.7
ENGL347  3 2.7
ENGL431  3 3.0
MATH128  3 -1.0
MATH150  3 1.3
MATH244  3 0.0
ME186  3 -1.0
ME207  3 -1.0
PHYS123  3 2.3
PHYS457  4 3.0
PSYCH154  3 0.0
PSYCH260  3 3.3
622052	Oliver Mcdaniel
9
CE438  3 2.7
CHEM149  3 2.7
CS319  3 -1.0
ECON201  3 4.0
EE284  3 3.0
ME394  4 2.7
PHYS309  3 3.0
PSYCH154  3 -1
PSYCH233  3 1.0
771584	Brooklyn Thomas
8
CS222  3 -1
ENGL418  3 3.0
HIST310  3 2.7
MATH128  3 -1
MATH328  3 -1
MUS304  3 -1
PHYS166  3 3.0
POL198  3 2.0
870051	Adam May
23
CE212  3 3.3
CHEM149  3 4.0
CHEM179  3 2.3
CHEM196  3 0.0
CHEM230  3 3.7
CHEM310  3 1.7
CHEM387  3 2.7
CHEM408  3 3.7
CS222  3 1.0
CS285  3 3.7
EE284  3 3.0
ENGL175  3 2.7
ENGL418  3 4.0
ENGL431  3 2.7
HIST134  3 3.7
HIST310  3 3.0
MATH197  3 4.0
ME298  3 -1
MUS304  3 1.7
MUS451  3 3.3
PHYS109  3 0.7
PHYS309  3 2.0
POL198  3 -1
865417	Chris Tyler
8
ART158  3 -1
CHEM225  3 2.3
CHEM310  3 1.7
ECON458  3 -1
EE361  3 -1
ENGL225  3 0.7
MATH244  3 4.0
PHYS457  4 -1
603540	Alice Hampton
18
ART159  3 3.7
CE262  3 3.7
CHEM196  3 3.7
CHEM310  3 -1
CS224  3 2.3
ECON438  3 2.7
EE450  3 2.7
ENGL351  3 4.0
ENGL418  3 0.7
ENGL440  3 2.0
MATH128  3 3.7
MATH150  3 1.7
MATH197  3 2.7
MUS141  3 -1.0
PHYS109  3 3.7
PHYS457  4 3.7
POL405  3 1.3
PSYCH165  3 2.3
975758	Eddie Wise
9
CHEM230  3 3.0
CS319  3 3.0
ENGL225  3 -1
HIST290  3 3.3
ME193  3 3.0
ME334  3 3.3
MUS451  3 -1.0
POL405  3 2.7
PSYCH165  3 -1
129908	India Hogan
6
CS454  3 3.0
EE201  3 -1
ME193  3 -1
PHYS174  3 2.3
PSYCH165  3 -1
PSYCH454  3 3.0
644710	Delaney Brown
30
ART134  3 3.0
CE242  3 -1
CE262  3 3.7
CE263  3 4.0
CHEM149  3 3.3
CHEM179  3 2.0
CHEM196  3 -1.0
CHEM225  3 3.7
CHEM310  3 3.3
CHEM406  3 3.3
CHEM408  3 3.7
CS285  3 1.0
CS386  3 0.0
ECON199  4 4.0
ECON372  3 -1
ECON438  3 1.7
EE284  3 2.0
EE450  3 4.0
ENGL163  3 3.0
ENGL338  3 2.3
ENGL373  3 4.0
ENGL418  3 2.0
HIST148  3 1.3
HIST370  3 4.0
MATH328  3 3.0
ME394  4 3.3
MUS371  3 2.7
PHYS309  3 1.3
POL198  3 2.7
PSYCH454  3 -1
503502	Griffin Todd
20
ART158  3 2.3
CE263  3 2.0
CE275  3 1.0
CE438  3 3.3
CHEM230  3 1.7
CHEM310  3 -1
CS224  3 -1
CS319  3 3.3
CS386  3 2.7
ECON351  3 3.7
EE260  3 3.7
ENGL121  3 -1.0
ENGL373  3 3.7
HIST148  3 3.3
MATH150  3 -1.0
MATH197  3 3.7
MATH244  3 -1
ME298  3 3.7
MUS141  3 1.3
PHYS109  3 1.7
420182	Karla Gardner
13
CE212  3 3.3
CHEM196  3 4.0
ECON199  4 -1
ECON201  3 -1
EE405  3 2.0
ENGL163  3 -1.0
ENGL225  3 1.3
ENGL351  3 -1
ENGL431  3 2.3
ME186  3 -1
ME208  3 2.3
MUS141  3 3.0
PSYCH454  3 3.7
589072	Raven Love
28
ART134  3 3.0
ART331  3 -1
ART426  3 3.7
CHEM310  3 -1.0
CHEM406  3 -1.0
CS222  3 3.7
CS319  3 2.0
ECON372  3 -1
EE157  3 -1
EE260  3 2.3
EE361  3 2.0
EE450  3 3.3
ENGL163  3 -1
ENGL440  3 -1
HIST310  3 2.7
HIST370  3 1.3
MATH128  3 2.7
MATH335  3 -1
ME186  3 2.0
ME193  3 2.0
ME208  3 3.0
ME298  3 2.7
ME394  4 2.7
MUS141  3 4.0
MUS304  3 0.0
PHYS174  3 3.7
PSYCH165  3 3.7
PSYCH233  3 0.7
214314	Jared Santiago
23
ART158  3 -1
ART333  3 -1
ART426  3 3.0
CE132  3 -1.0
CHEM196  3 1.0
CHEM230  3 0.7
CS165  4 2.7
CS386  3 1.7
ECON281  3 3.0
ECON351  3 2.7
EE361  3 3.3
ENGL175  3 2.7
ENGL225  3 3.7
HIST310  3 3.7
HIST329  3 2.0
HIST370  3 3.0
MATH335  3 4.0
ME207  3 3.0
PHYS166  3 3.7
POL198  3 1.0
POL443  3 2.3
PSYCH233  3 -1
PSYCH454  3 3.7
492683	Kathleen Marsh
19
ART158  3 -1.0
CE262  3 -1
CE263  3 3.7
CHEM230  3 -1
CHEM236  3 0.0
CS285  3 2.3
CS319  3 -1.0
ECON201  3 1.0
EE361  3 3.3
ENGL175  3 0.0
ENGL373  3 3.7
ENGL431  3 4.0
HIST134  3 -1
HIST257  3 3.3
MATH307  3 0.7
ME334  3 -1
PHYS109  3 3.0
PSYCH154  3 3.3
PSYCH260  3 2.7
695559	Savannah Lawson
27
ART426  3 3.7
CE275  3 2.7
CE438  3 0.7
CHEM196  3 2.7
CHEM236  3 2.3
CHEM406  3 1.3
ECON281  3 3.7
ECON351  3 3.3
ECON372  3 -1.0
EE260  3 1.0
EE284  3 3.3
EE450  3 -1
ENGL347  3 3.0
ENGL444  3 2.0
HIST148  3 2.7
HIST257  3 3.3
HIST290  3 3.7
HIST310  3 -1
HIST329  3 0.0
MATH197  3 3.0
MATH368  3 3.7
ME334  3 3.3
MUS239  3 -1
MUS358  3 -1
MUS371  3 3.3
PSYCH154  3 2.7
PSYCH454  3 -1
227500	Valerie Brewer
10
CHEM236  3 2.0
CHEM408  3 3.7
ECON458  3 4.0
ENGL121  3 -1
ENGL338  3 -1
MATH150  3 3.7
MATH197  3 3.7
MATH328  3 -1
MUS371  3 0.7
POL443  3 -1.0
211341	Adrian Hawkins
18
ART333  3 0.7
CE435  3 3.3
CHEM179  3 2.7
CHEM230  3 3.7
CHEM236  3 4.0
CS222  3 1.3
EE405  3 2.7
ENGL163  3 -1.0
ENGL338  3 3.3
MATH197  3 4.0
MATH244  3 4.0
MATH307  3 -1
ME186  3 3.7
ME193  3 -1
ME208  3 2.3
MUS141  3 2.7
MUS451  3 -1
POL443  3 3.7
904341	Amber Young
12
CE132  3 -1
CE435  3 -1
CS224  3 2.3
ECON281  3 3.7
ECON351  3 2.3
ECON372  3 2.3
ENGL121  3 -1
ENGL440  3 -1
HIST310  3 -1
ME186  3 2.3
ME193  3 0.7
MUS451  3 -1
348514	Fiona Hunter
5
ART159  3 -1
CS224  3 -1
EE361  3 3.7
HIST370  3 -1
PHYS457  4 3.7
223947	Savanna Murphy
25
ART134  3 -1
ART426  3 -1.0
CE132  3 2.3
CE435  3 -1
CHEM196  3 -1.0
CHEM225  3 2.0
CS165  4 2.7
ECON458  3 2.0
EE260  3 3.0
EE361  3 3.7
EE405  3 -1
ENGL347  3 0.7
ENGL418  3 3.0
ENGL431  3 2.7
HIST290  3 3.0
HIST310  3 3.0
MATH328  3 4.0
ME186  3 0.0
MUS141  3 4.0
MUS239  3 1.7
MUS451  3 2.7
PHYS166  3 -1
PHYS174  3 -1
POL443  3 3.7
PSYCH233  3 1.0
339652	Chris Steele
15
CE438  3 0.7
CHEM149  3 3.3
CHEM179  3 0.0
CS454  3 3.0
EE157  3 3.3
EE201  3 1.3
EE284  3 2.0
EE450  3 -1.0
ENGL163  3 1.0
ENGL440  3 -1
ENGL444  3 1.3
MATH307  3 3.0
MATH328  3 -1.0
MATH368  3 2.7
ME186  3 2.7
918538	Katrina Estrada
21
CE212  3 3.0
CE435  3 -1
CE438  3 -1
CHEM406  3 3.7
CS454  3 3.3
EE284  3 1.0
ENGL121  3 2.3
ENGL225  3 -1
ENGL440  3 3.0
ENGL444  3 3.0
HIST329  3 4.0
MATH244  3 4.0
MATH368  3 3.7
ME193  3 3.3
ME208  3 -1
ME334  3 3.3
ME394  4 2.3
MUS358  3 0.7
MUS451  3 1.0
PSYCH154  3 3.7
PSYCH165  3 -1
